"RXCUI","DRUG_DESCRIPTION","VOCABULARY","CODE","INDICATION_DESCRIPTION"
7512,"norepinephrine","ICD9CM","458","Hypotension"
7512,"norepinephrine","ICD9CM","458.9","Hypotension NOS"
7512,"norepinephrine","ICD9CM","785.50","Shock NOS"
7514,"norethindrone","ICD10CM","E28.39","Other primary ovarian failure"
7514,"norethindrone","ICD10CM","E29.1","Testicular hypofunction"
7514,"norethindrone","ICD10CM","L70.0","Acne vulgaris"
7514,"norethindrone","ICD10CM","M81.0","Age-related osteoporosis without current pathological fracture"
7514,"norethindrone","ICD10CM","N80","Endometriosis"
7514,"norethindrone","ICD10CM","N80.9","Endometriosis, unspecified"
7514,"norethindrone","ICD10CM","N85.0","Endometrial hyperplasia"
7514,"norethindrone","ICD10CM","N85.00","Endometrial hyperplasia, unspecified"
7514,"norethindrone","ICD10CM","N85.01","Benign endometrial hyperplasia"
7514,"norethindrone","ICD10CM","N85.02","Endometrial intraepithelial neoplasia [EIN]"
7514,"norethindrone","ICD10CM","N89.8","Other specified noninflammatory disorders of vagina"
7514,"norethindrone","ICD10CM","N92.0","Excessive and frequent menstruation with regular cycle"
7514,"norethindrone","ICD10CM","N92.1","Excessive and frequent menstruation with irregular cycle"
7514,"norethindrone","ICD10CM","N92.2","Excessive menstruation at puberty"
7514,"norethindrone","ICD10CM","N92.4","Excessive bleeding in the premenopausal period"
7514,"norethindrone","ICD10CM","N93.0","Postcoital and contact bleeding"
7514,"norethindrone","ICD10CM","N93.8","Other specified abnormal uterine and vaginal bleeding"
7514,"norethindrone","ICD10CM","N95.1","Menopausal and female climacteric states"
7514,"norethindrone","ICD10CM","R23.2","Flushing"
7514,"norethindrone","ICD10CM","R41.89","Other symptoms and signs involving cognitive functions and awareness"
7514,"norethindrone","ICD10CM","Z33.1","Pregnant state, incidental"
7514,"norethindrone","ICD9CM","182","Malignant neoplasm of body of uterus"
7514,"norethindrone","ICD9CM","253.4","Other anterior pituitary disorders"
7514,"norethindrone","ICD9CM","617","Endometriosis"
7514,"norethindrone","ICD9CM","617.0","Uterine endometriosis"
7514,"norethindrone","ICD9CM","617.9","Endometriosis NOS"
7514,"norethindrone","ICD9CM","621.3","Endometrial hyperplasia"
7514,"norethindrone","ICD9CM","621.30","Endometrial hyperpla NOS"
7514,"norethindrone","ICD9CM","625.8","Other specified symptoms associated with female genital organs"
7514,"norethindrone","ICD9CM","626.2","Excessive or frequent menstruation"
7514,"norethindrone","ICD9CM","627.2","Symptomatic menopausal or female climacteric states"
7514,"norethindrone","ICD9CM","706.1","Other acne"
7514,"norethindrone","ICD9CM","733.0","Osteoporosis"
7514,"norethindrone","ICD9CM","733.00","Osteoporosis NOS"
7514,"norethindrone","ICD9CM","780-789.99","SYMPTOMS"
7514,"norethindrone","ICD9CM","V22.2","Pregnant state, incidental"
7517,"norfloxacin","ICD10CM","A07.9","Protozoal intestinal disease, unspecified"
7517,"norfloxacin","ICD10CM","A48.4","Brazilian purpuric fever"
7517,"norfloxacin","ICD10CM","A49","Bacterial infection of unspecified site"
7517,"norfloxacin","ICD10CM","A49.01","Methicillin susceptible Staphylococcus aureus infection, unspecified site"
7517,"norfloxacin","ICD10CM","A49.8","Other bacterial infections of unspecified site"
7517,"norfloxacin","ICD10CM","A49.9","Bacterial infection, unspecified"
7517,"norfloxacin","ICD10CM","A54","Gonococcal infection"
7517,"norfloxacin","ICD10CM","A54.9","Gonococcal infection, unspecified"
7517,"norfloxacin","ICD10CM","B50-B64","Protozoal diseases (B50-B64)"
7517,"norfloxacin","ICD10CM","B64","Unspecified protozoal disease"
7517,"norfloxacin","ICD10CM","B96.20","Escherichia coli [E. coli] NOS"
7517,"norfloxacin","ICD10CM","H10.0","Mucopurulent conjunctivitis"
7517,"norfloxacin","ICD10CM","H10.021","Other mucopurulent conjunctivitis, right eye"
7517,"norfloxacin","ICD10CM","H10.022","Other mucopurulent conjunctivitis, left eye"
7517,"norfloxacin","ICD10CM","H10.023","Other mucopurulent conjunctivitis, bilateral"
7517,"norfloxacin","ICD10CM","H10.029","Other mucopurulent conjunctivitis, unspecified eye"
7517,"norfloxacin","ICD10CM","H10.9","Unspecified conjunctivitis"
7517,"norfloxacin","ICD10CM","N30","Cystitis"
7517,"norfloxacin","ICD10CM","N30.9","Cystitis, unspecified"
7517,"norfloxacin","ICD10CM","N30.90","Cystitis, unspecified without hematuria"
7517,"norfloxacin","ICD10CM","N39.0","Urinary tract infection, site not specified"
7517,"norfloxacin","ICD10CM","N41","Inflammatory diseases of prostate"
7517,"norfloxacin","ICD10CM","N41.9","Inflammatory disease of prostate, unspecified"
7517,"norfloxacin","ICD10CM","P39.1","Neonatal conjunctivitis and dacryocystitis"
7517,"norfloxacin","ICD10CM","P39.3","Neonatal urinary tract infection"
7517,"norfloxacin","ICD9CM","007.9","Unspecified protozoal intestinal disease"
7517,"norfloxacin","ICD9CM","041.10","Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified"
7517,"norfloxacin","ICD9CM","041.4","Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site"
7517,"norfloxacin","ICD9CM","041.49","E.coli infection NEC/NOS"
7517,"norfloxacin","ICD9CM","041.7","Pseudomonas infection in conditions classified elsewhere and of unspecified site"
7517,"norfloxacin","ICD9CM","041.85","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms"
7517,"norfloxacin","ICD9CM","041.9","Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
7517,"norfloxacin","ICD9CM","098","Gonococcal infections"
7517,"norfloxacin","ICD9CM","136.8","Other specified infectious and parasitic diseases"
7517,"norfloxacin","ICD9CM","372.03","Other mucopurulent conjunctivitis"
7517,"norfloxacin","ICD9CM","595","Cystitis"
7517,"norfloxacin","ICD9CM","595.3","Trigonitis"
7517,"norfloxacin","ICD9CM","595.9","Cystitis NOS"
7517,"norfloxacin","ICD9CM","599.0","Urin tract infection NOS"
7517,"norfloxacin","ICD9CM","601","Inflammatory diseases of prostate"
7517,"norfloxacin","ICD9CM","601.2","Abscess of prostate"
7517,"norfloxacin","ICD9CM","601.9","Prostatitis NOS"
7518,"norgestrel","ICD10CM","Z33.1","Pregnant state, incidental"
7518,"norgestrel","ICD9CM","V22.2","Pregnant state, incidental"
7531,"nortriptyline","ICD10CM","F32.9","Depression NOS"
7531,"nortriptyline","ICD10CM","F34.1","Depressive neurosis"
7531,"nortriptyline","ICD10CM","F39","Affective psychosis NOS"
7531,"nortriptyline","ICD10CM","F41.9","Anxiety disorder, unspecified"
7531,"nortriptyline","ICD10CM","F90","Attention-deficit hyperactivity disorders"
7531,"nortriptyline","ICD10CM","F90.1","Attention-deficit hyperactivity disorder, predominantly hyperactive type"
7531,"nortriptyline","ICD10CM","F90.9","Attention-deficit hyperactivity disorder NOS"
7531,"nortriptyline","ICD10CM","F98.0","Enuresis not due to a substance or known physiological condition"
7531,"nortriptyline","ICD10CM","G70.89","Other specified myoneural disorders"
7531,"nortriptyline","ICD10CM","N39.44","Nocturnal enuresis"
7531,"nortriptyline","ICD10CM","R32","Enuresis NOS"
7531,"nortriptyline","ICD10CM","R52","Pain NOS"
7531,"nortriptyline","ICD9CM","296.80","Bipolar disorder, unspecified"
7531,"nortriptyline","ICD9CM","296.90","Unspecified episodic mood disorder"
7531,"nortriptyline","ICD9CM","300.2","Phobic disorders"
7531,"nortriptyline","ICD9CM","300.20","Phobia, unspecified"
7531,"nortriptyline","ICD9CM","300.4","Dysthymic disorder"
7531,"nortriptyline","ICD9CM","300.5","Neurasthenia"
7531,"nortriptyline","ICD9CM","307.6","Enuresis"
7531,"nortriptyline","ICD9CM","311","Depressive disorder, not elsewhere classified"
7531,"nortriptyline","ICD9CM","314","Hyperkinetic syndrome of childhood"
7531,"nortriptyline","ICD9CM","314.01","Attention deficit disorder with hyperactivity"
7531,"nortriptyline","ICD9CM","314.9","Hyperkinetic synd NOS"
7531,"nortriptyline","ICD9CM","338-338.99","PAIN"
7531,"nortriptyline","ICD9CM","780.99","Other general symptoms"
7531,"nortriptyline","ICD9CM","788.36","Nocturnal enuresis"
7597,"nystatin","ICD10CM","B35-B49","Mycoses (B35-B49)"
7597,"nystatin","ICD10CM","B35.9","Dermatophytosis, unspecified"
7597,"nystatin","ICD10CM","B36.9","Superficial mycosis, unspecified"
7597,"nystatin","ICD10CM","B37.0","Candidal stomatitis"
7597,"nystatin","ICD10CM","B37.2","Candidiasis of skin and nail"
7597,"nystatin","ICD10CM","B37.3","Candidal vulvovaginitis"
7597,"nystatin","ICD10CM","B37.49","Other urogenital candidiasis"
7597,"nystatin","ICD10CM","B37.7","Candidal sepsis"
7597,"nystatin","ICD10CM","B37.82","Candidal enteritis"
7597,"nystatin","ICD10CM","B37.9","Candidiasis, unspecified"
7597,"nystatin","ICD10CM","B49","Unspecified mycosis"
7597,"nystatin","ICD10CM","B99.9","Unspecified infectious disease"
7597,"nystatin","ICD10CM","E31.0","Autoimmune polyglandular failure"
7597,"nystatin","ICD10CM","L22","Diaper dermatitis"
7597,"nystatin","ICD10CM","P37.5","Neonatal candidiasis"
7597,"nystatin","ICD10CM","P39.9","Infection specific to the perinatal period, unspecified"
7597,"nystatin","ICD9CM","001-139.99","INFECTIOUS AND PARASITIC DISEASES"
7597,"nystatin","ICD9CM","110","Dermatophytosis"
7597,"nystatin","ICD9CM","110-118.99","MYCOSES"
7597,"nystatin","ICD9CM","110.9","Dermatophytosis of unspecified site"
7597,"nystatin","ICD9CM","111","Dermatomycosis, other and unspecified"
7597,"nystatin","ICD9CM","111.9","Dermatomycosis NOS"
7597,"nystatin","ICD9CM","112","Candidiasis"
7597,"nystatin","ICD9CM","112.0","Candidiasis of mouth"
7597,"nystatin","ICD9CM","112.1","Candidal vulvovaginitis"
7597,"nystatin","ICD9CM","112.9","Candidiasis of unspecified site"
7597,"nystatin","ICD9CM","117.9","Other and unspecified mycoses"
7597,"nystatin","ICD9CM","136.9","Unspecified infectious and parasitic diseases"
7617,"octreotide","ICD10CM","A04.72","Enterocolitis due to Clostridium difficile, not specified as recurrent"
7617,"octreotide","ICD10CM","D36.9","Benign neoplasm, unspecified site"
7617,"octreotide","ICD10CM","D3A.00","Carcinoid tumor NOS"
7617,"octreotide","ICD10CM","D3A.098","Benign carcinoid tumors of other sites"
7617,"octreotide","ICD10CM","D48.9","Neoplasm of uncertain behavior, unspecified"
7617,"octreotide","ICD10CM","D49","neoplasm NOS"
7617,"octreotide","ICD10CM","D49.0","Neoplasm of unspecified behavior of digestive system"
7617,"octreotide","ICD10CM","D49.7","Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system"
7617,"octreotide","ICD10CM","E22.0","Acromegaly and pituitary gigantism"
7617,"octreotide","ICD10CM","F79","Unspecified intellectual disabilities"
7617,"octreotide","ICD10CM","F90.9","Attention-deficit hyperactivity disorder, unspecified type"
7617,"octreotide","ICD10CM","K52.89","Other specified noninfective gastroenteritis and colitis"
7617,"octreotide","ICD10CM","K58.0","Irritable bowel syndrome with diarrhea"
7617,"octreotide","ICD10CM","L53.8","Other specified erythematous conditions"
7617,"octreotide","ICD10CM","L71.9","Rosacea, unspecified"
7617,"octreotide","ICD10CM","N95.1","Menopausal and female climacteric states"
7617,"octreotide","ICD10CM","P78.3","Noninfective neonatal diarrhea"
7617,"octreotide","ICD10CM","P92.09","Other vomiting of newborn"
7617,"octreotide","ICD10CM","R11.10","Vomiting, unspecified"
7617,"octreotide","ICD10CM","R19.5","Other fecal abnormalities"
7617,"octreotide","ICD10CM","R19.7","Diarrhea NOS"
7617,"octreotide","ICD10CM","R23.2","Flushing"
7617,"octreotide","ICD10CM","R41.89","Other symptoms and signs involving cognitive functions and awareness"
7617,"octreotide","ICD10CM","T36.8X5","Adverse effect of other systemic antibiotics"
7617,"octreotide","ICD10CM","T46.3X5","Adverse effect of coronary vasodilators"
7617,"octreotide","ICD10CM","T50.905","Adverse effect of unspecified drugs, medicaments and biological substances"
7617,"octreotide","ICD10CM","T51.94","Toxic effect of unspecified alcohol, undetermined"
7617,"octreotide","ICD9CM","140-239.99","NEOPLASMS"
7617,"octreotide","ICD9CM","199","Malignant neoplasm without specification of site"
7617,"octreotide","ICD9CM","209.60","Benign carcinoid tumor of unknown primary site"
7617,"octreotide","ICD9CM","239.7","Neoplasm of unspecified nature of endocrine glands and other parts of nervous system"
7617,"octreotide","ICD9CM","253.0","Acromegaly and gigantism"
7617,"octreotide","ICD9CM","782.62","Flushing"
7617,"octreotide","ICD9CM","787.91","Diarrhea"
7623,"ofloxacin","ICD10CM","A02.9","Salmonella infection, unspecified"
7623,"ofloxacin","ICD10CM","A04.8","Other specified bacterial intestinal infections"
7623,"ofloxacin","ICD10CM","A07.9","Protozoal intestinal disease, unspecified"
7623,"ofloxacin","ICD10CM","A15","Respiratory tuberculosis"
7623,"ofloxacin","ICD10CM","A15.0","Tuberculosis of lung"
7623,"ofloxacin","ICD10CM","A15.9","Respiratory tuberculosis unspecified"
7623,"ofloxacin","ICD10CM","A48.4","Brazilian purpuric fever"
7623,"ofloxacin","ICD10CM","A49","Bacterial infection of unspecified site"
7623,"ofloxacin","ICD10CM","A49.01","Methicillin susceptible Staphylococcus aureus infection, unspecified site"
7623,"ofloxacin","ICD10CM","A49.8","Other bacterial infections of unspecified site"
7623,"ofloxacin","ICD10CM","A49.9","Bacterial infection, unspecified"
7623,"ofloxacin","ICD10CM","A54","Gonococcal infection"
7623,"ofloxacin","ICD10CM","A54.9","Gonococcal infection, unspecified"
7623,"ofloxacin","ICD10CM","A58","Granuloma inguinale"
7623,"ofloxacin","ICD10CM","A74.9","Chlamydial infection, unspecified"
7623,"ofloxacin","ICD10CM","B50-B64","Protozoal diseases (B50-B64)"
7623,"ofloxacin","ICD10CM","B64","Unspecified protozoal disease"
7623,"ofloxacin","ICD10CM","B96.1","Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere"
7623,"ofloxacin","ICD10CM","B96.20","Escherichia coli [E. coli] NOS"
7623,"ofloxacin","ICD10CM","B96.4","Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere"
7623,"ofloxacin","ICD10CM","B96.89","Other specified bacterial agents as the cause of diseases classified elsewhere"
7623,"ofloxacin","ICD10CM","B99.9","Unspecified infectious disease"
7623,"ofloxacin","ICD10CM","G00.8","Other bacterial meningitis"
7623,"ofloxacin","ICD10CM","H10","Conjunctivitis"
7623,"ofloxacin","ICD10CM","H10.0","Mucopurulent conjunctivitis"
7623,"ofloxacin","ICD10CM","H10.021","Other mucopurulent conjunctivitis, right eye"
7623,"ofloxacin","ICD10CM","H10.022","Other mucopurulent conjunctivitis, left eye"
7623,"ofloxacin","ICD10CM","H10.023","Other mucopurulent conjunctivitis, bilateral"
7623,"ofloxacin","ICD10CM","H10.029","Other mucopurulent conjunctivitis, unspecified eye"
7623,"ofloxacin","ICD10CM","H10.9","Unspecified conjunctivitis"
7623,"ofloxacin","ICD10CM","H16.0","Corneal ulcer"
7623,"ofloxacin","ICD10CM","H16.00","Unspecified corneal ulcer"
7623,"ofloxacin","ICD10CM","H16.009","Unspecified corneal ulcer, unspecified eye"
7623,"ofloxacin","ICD10CM","H44.009","Unspecified purulent endophthalmitis, unspecified eye"
7623,"ofloxacin","ICD10CM","H60","Otitis externa"
7623,"ofloxacin","ICD10CM","H60.9","Unspecified otitis externa"
7623,"ofloxacin","ICD10CM","H60.90","Unspecified otitis externa, unspecified ear"
7623,"ofloxacin","ICD10CM","H66","Suppurative and unspecified otitis media"
7623,"ofloxacin","ICD10CM","H66.10","Chronic tubotympanic suppurative otitis media, unspecified"
7623,"ofloxacin","ICD10CM","H66.20","Chronic atticoantral suppurative otitis media, unspecified ear"
7623,"ofloxacin","ICD10CM","H66.3X9","Other chronic suppurative otitis media, unspecified ear"
7623,"ofloxacin","ICD10CM","H66.4","Purulent otitis media NOS"
7623,"ofloxacin","ICD10CM","H66.40","Suppurative otitis media, unspecified, unspecified ear"
7623,"ofloxacin","ICD10CM","H66.41","Suppurative otitis media, unspecified, right ear"
7623,"ofloxacin","ICD10CM","H66.42","Suppurative otitis media, unspecified, left ear"
7623,"ofloxacin","ICD10CM","H66.9","Acute otitis media NOS"
7623,"ofloxacin","ICD10CM","H66.90","Otitis media, unspecified, unspecified ear"
7623,"ofloxacin","ICD10CM","H72.10","Attic perforation of tympanic membrane, unspecified ear"
7623,"ofloxacin","ICD10CM","J15.0","Pneumonia due to Klebsiella pneumoniae"
7623,"ofloxacin","ICD10CM","J15.6","Pneumonia due to other Gram-negative bacteria"
7623,"ofloxacin","ICD10CM","J18.9","Pneumonia, unspecified organism"
7623,"ofloxacin","ICD10CM","J20.9","Acute bronchitis, unspecified"
7623,"ofloxacin","ICD10CM","J40","Bronchitis NOS"
7623,"ofloxacin","ICD10CM","J42","Chronic bronchitis NOS"
7623,"ofloxacin","ICD10CM","L08.9","Local infection of the skin and subcutaneous tissue, unspecified"
7623,"ofloxacin","ICD10CM","N30","Cystitis"
7623,"ofloxacin","ICD10CM","N30.9","Cystitis, unspecified"
7623,"ofloxacin","ICD10CM","N30.90","Cystitis, unspecified without hematuria"
7623,"ofloxacin","ICD10CM","N39.0","Urinary tract infection, site not specified"
7623,"ofloxacin","ICD10CM","N41","Inflammatory diseases of prostate"
7623,"ofloxacin","ICD10CM","N41.9","Inflammatory disease of prostate, unspecified"
7623,"ofloxacin","ICD10CM","N45.1","Epididymitis"
7623,"ofloxacin","ICD10CM","P39.1","Neonatal conjunctivitis and dacryocystitis"
7623,"ofloxacin","ICD10CM","P39.3","Neonatal urinary tract infection"
7623,"ofloxacin","ICD10CM","P39.4","Neonatal skin infection"
7623,"ofloxacin","ICD10CM","P39.9","Infection specific to the perinatal period, unspecified"
7623,"ofloxacin","ICD9CM","001-139.99","INFECTIOUS AND PARASITIC DISEASES"
7623,"ofloxacin","ICD9CM","003.0","Salmonella gastroenteritis"
7623,"ofloxacin","ICD9CM","003.9","Salmonella infection NOS"
7623,"ofloxacin","ICD9CM","007.9","Unspecified protozoal intestinal disease"
7623,"ofloxacin","ICD9CM","011","Pulmonary tuberculosis"
7623,"ofloxacin","ICD9CM","011.9","Unspecified pulmonary tuberculosis"
7623,"ofloxacin","ICD9CM","011.90","Pulmonary TB NOS-unspec"
7623,"ofloxacin","ICD9CM","041.10","Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified"
7623,"ofloxacin","ICD9CM","041.4","Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site"
7623,"ofloxacin","ICD9CM","041.49","E.coli infection NEC/NOS"
7623,"ofloxacin","ICD9CM","041.6","Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site"
7623,"ofloxacin","ICD9CM","041.85","Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms"
7623,"ofloxacin","ICD9CM","041.9","Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
7623,"ofloxacin","ICD9CM","079.98","Unspecified chlamydial infection"
7623,"ofloxacin","ICD9CM","098","Gonococcal infections"
7623,"ofloxacin","ICD9CM","136.8","Other specified infectious and parasitic diseases"
7623,"ofloxacin","ICD9CM","136.9","Unspecified infectious and parasitic diseases"
7623,"ofloxacin","ICD9CM","370.0","Corneal ulcer"
7623,"ofloxacin","ICD9CM","370.00","Corneal ulcer NOS"
7623,"ofloxacin","ICD9CM","372.0","Acute conjunctivitis"
7623,"ofloxacin","ICD9CM","372.00","Acute conjunctivitis, unspecified"
7623,"ofloxacin","ICD9CM","372.03","Other mucopurulent conjunctivitis"
7623,"ofloxacin","ICD9CM","372.30","Conjunctivitis NOS"
7623,"ofloxacin","ICD9CM","379.99","Other ill-defined disorders of eye"
7623,"ofloxacin","ICD9CM","380","Disorders of external ear"
7623,"ofloxacin","ICD9CM","380.1","Infective otitis externa"
7623,"ofloxacin","ICD9CM","380.10","Infec otitis externa NOS"
7623,"ofloxacin","ICD9CM","380.30","Disorder of pinna, unspecified"
7623,"ofloxacin","ICD9CM","380.9","Unspecified disorder of external ear"
7623,"ofloxacin","ICD9CM","382","Suppurative and unspecified otitis media"
7623,"ofloxacin","ICD9CM","382.3","Chr sup otitis media NOS"
7623,"ofloxacin","ICD9CM","382.4","Suppur otitis media NOS"
7623,"ofloxacin","ICD9CM","382.9","Otitis media NOS"
7623,"ofloxacin","ICD9CM","490","Bronchitis NOS"
7623,"ofloxacin","ICD9CM","595","Cystitis"
7623,"ofloxacin","ICD9CM","595.3","Trigonitis"
7623,"ofloxacin","ICD9CM","595.9","Cystitis NOS"
7623,"ofloxacin","ICD9CM","599.0","Urin tract infection NOS"
7623,"ofloxacin","ICD9CM","601","Inflammatory diseases of prostate"
7623,"ofloxacin","ICD9CM","601.2","Abscess of prostate"
7623,"ofloxacin","ICD9CM","601.9","Prostatitis NOS"
7623,"ofloxacin","ICD9CM","686.8","Other specified local infections of skin and subcutaneous tissue"
7624,"clove oil","ICD10CM","T78.40","Allergy, unspecified"
7624,"clove oil","ICD9CM","995.3","Allergy, unspecified, not elsewhere classified"
7646,"omeprazole","ICD10CM","E16.4","Increased secretion of gastrin"
7646,"omeprazole","ICD10CM","I21","cardiac infarction"
7646,"omeprazole","ICD10CM","I21.9","Acute myocardial infarction, unspecified"
7646,"omeprazole","ICD10CM","I22","cardiac infarction"
7646,"omeprazole","ICD10CM","I63.9","Cerebral infarction, unspecified"
7646,"omeprazole","ICD10CM","K20","Esophagitis"
7646,"omeprazole","ICD10CM","K20.9","Esophagitis NOS"
7646,"omeprazole","ICD10CM","K21","Gastro-esophageal reflux disease"
7646,"omeprazole","ICD10CM","K21.0","Gastro-esophageal reflux disease with esophagitis"
7646,"omeprazole","ICD10CM","K21.9","Esophageal reflux NOS"
7646,"omeprazole","ICD10CM","K22.10","Ulcer of esophagus without bleeding"
7646,"omeprazole","ICD10CM","K25","Gastric ulcer"
7646,"omeprazole","ICD10CM","K25.9","Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
7646,"omeprazole","ICD10CM","K26","Duodenal ulcer"
7646,"omeprazole","ICD10CM","K26.7","Chronic duodenal ulcer without hemorrhage or perforation"
7646,"omeprazole","ICD10CM","K26.9","Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
7646,"omeprazole","ICD10CM","K27.3","Acute peptic ulcer, site unspecified, without hemorrhage or perforation"
7646,"omeprazole","ICD10CM","K44.9","Diaphragmatic hernia without obstruction or gangrene"
7646,"omeprazole","ICD10CM","L98.9","Disorder of the skin and subcutaneous tissue, unspecified"
7646,"omeprazole","ICD10CM","M43.6","Torticollis"
7646,"omeprazole","ICD10CM","P28.4","Other apnea of newborn"
7646,"omeprazole","ICD10CM","P78.83","Newborn esophageal reflux"
7646,"omeprazole","ICD10CM","P83.9","Condition of the integument specific to newborn, unspecified"
7646,"omeprazole","ICD10CM","R06.81","Apnea, not elsewhere classified"
7646,"omeprazole","ICD10CM","R12","Heartburn"
7646,"omeprazole","ICD9CM","251.5","Abnormality of secretion of gastrin"
7646,"omeprazole","ICD9CM","410","Acute myocardial infarction"
7646,"omeprazole","ICD9CM","410.9","Acute myocardial infarction, unspecified site"
7646,"omeprazole","ICD9CM","410.90","Acute myocardial infarction of unspecified site, episode of care unspecified"
7646,"omeprazole","ICD9CM","430-438.99","CEREBROVASCULAR DISEASE"
7646,"omeprazole","ICD9CM","434.91","Cerebral artery occlusion, unspecified with cerebral infarction"
7646,"omeprazole","ICD9CM","436","Cva"
7646,"omeprazole","ICD9CM","437.9","Unspecified cerebrovascular disease"
7646,"omeprazole","ICD9CM","530.1","Esophagitis"
7646,"omeprazole","ICD9CM","530.10","Esophagitis, unspecified"
7646,"omeprazole","ICD9CM","530.11","Reflux esophagitis"
7646,"omeprazole","ICD9CM","530.19","Other esophagitis"
7646,"omeprazole","ICD9CM","530.81","Esophageal reflux"
7646,"omeprazole","ICD9CM","531","Gastric ulcer"
7646,"omeprazole","ICD9CM","532","Duodenal ulcer"
7646,"omeprazole","ICD9CM","707.9","Chronic ulcer of unspecified site"
7646,"omeprazole","ICD9CM","787.1","Heartburn"
7676,"opium","ICD10CM","A04.72","Enterocolitis due to Clostridium difficile, not specified as recurrent"
7676,"opium","ICD10CM","K50","Crohn's disease [regional enteritis]"
7676,"opium","ICD10CM","K50.9","Crohn's disease, unspecified"
7676,"opium","ICD10CM","K50.90","Crohn's disease NOS"
7676,"opium","ICD10CM","K52.89","Other specified noninfective gastroenteritis and colitis"
7676,"opium","ICD10CM","K58.0","Irritable bowel syndrome with diarrhea"
7676,"opium","ICD10CM","P78.3","Noninfective neonatal diarrhea"
7676,"opium","ICD10CM","P92.09","Other vomiting of newborn"
7676,"opium","ICD10CM","R11.10","Vomiting, unspecified"
7676,"opium","ICD10CM","R19.5","Other fecal abnormalities"
7676,"opium","ICD10CM","R19.7","Diarrhea NOS"
7676,"opium","ICD10CM","R52","Pain NOS"
7676,"opium","ICD9CM","338-338.99","PAIN"
7676,"opium","ICD9CM","555","Regional enteritis"
7676,"opium","ICD9CM","555.9","Regional enteritis of unspecified site"
7676,"opium","ICD9CM","780.99","Other general symptoms"
7676,"opium","ICD9CM","787.91","Diarrhea"
7688,"metaproterenol","ICD10CM","J21.9","Acute bronchiolitis, unspecified"
7688,"metaproterenol","ICD10CM","J42","Chronic bronchitis NOS"
7688,"metaproterenol","ICD10CM","J43","Emphysema"
7688,"metaproterenol","ICD10CM","J43.9","Emphysema (lung)(pulmonary) NOS"
7688,"metaproterenol","ICD10CM","J45","Asthma"
7688,"metaproterenol","ICD10CM","J45.90","Unspecified asthma"
7688,"metaproterenol","ICD10CM","J45.909","Asthma NOS"
7688,"metaproterenol","ICD10CM","J45.990","Exercise induced bronchospasm"
7688,"metaproterenol","ICD10CM","J98.01","Acute bronchospasm"
7688,"metaproterenol","ICD10CM","P25.8","Other conditions related to interstitial emphysema originating in the perinatal period"
7688,"metaproterenol","ICD10CM","P28.89","Other specified respiratory conditions of newborn"
7688,"metaproterenol","ICD10CM","R06.0","Dyspnea"
7688,"metaproterenol","ICD10CM","R06.00","Dyspnea, unspecified"
7688,"metaproterenol","ICD10CM","R06.02","Shortness of breath"
7688,"metaproterenol","ICD9CM","491","Chronic bronchitis"
7688,"metaproterenol","ICD9CM","491.9","Chronic bronchitis NOS"
7688,"metaproterenol","ICD9CM","492","Emphysema"
7688,"metaproterenol","ICD9CM","492.8","Other emphysema"
7688,"metaproterenol","ICD9CM","493","Asthma"
7688,"metaproterenol","ICD9CM","493.81","Exercise induced bronchospasm"
7688,"metaproterenol","ICD9CM","493.9","Asthma, unspecified"
7688,"metaproterenol","ICD9CM","780-789.99","SYMPTOMS"
7688,"metaproterenol","ICD9CM","786.05","Shortness of breath"
7688,"metaproterenol","ICD9CM","786.09","Other respiratory abnormalities"
7701,"ornidazole","ICD10CM","A06","Amebiasis"
7701,"ornidazole","ICD10CM","A06.0","Acute amebic dysentery"
7701,"ornidazole","ICD10CM","A06.9","Amebiasis, unspecified"
7701,"ornidazole","ICD10CM","A07.9","Protozoal intestinal disease, unspecified"
7701,"ornidazole","ICD10CM","A59","Trichomoniasis"
7701,"ornidazole","ICD10CM","A59.9","Trichomoniasis, unspecified"
7701,"ornidazole","ICD10CM","B50-B64","Protozoal diseases (B50-B64)"
7701,"ornidazole","ICD10CM","B64","Unspecified protozoal disease"
7701,"ornidazole","ICD9CM","006","Amebiasis"
7701,"ornidazole","ICD9CM","006.9","Amebiasis NOS"
7701,"ornidazole","ICD9CM","007.9","Unspecified protozoal intestinal disease"
7701,"ornidazole","ICD9CM","131","Trichomoniasis"
7701,"ornidazole","ICD9CM","131.9","Trichomoniasis NOS"
